gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,celltype
si:dkeyp-4c4.1,28.63350619064581,-1.1142507945158293,0.6236268850279292,18.80391061225265,0.0020906429653150924,0.037141943238813487,BrancPorEp-120
si:dkey-27n6.4,57.74093320906874,-0.31187961962913974,0.4786939450411227,24.516017832347885,1.727429960707091e-4,0.005693370884289095,BrancPorEp-120
CR926130.2,187.4700635854646,-0.5174290096164849,0.40339075996670787,18.378520877949967,0.0025075772984739075,0.041466131174418004,BrancPorEp-120
CR926130.1,78.23069116700991,0.08057018014371858,0.5203589057370237,19.12432276623909,0.0018222862787430922,0.033248640993174025,BrancPorEp-120
kdm6ba,38.833008310094,-0.05489580424429915,0.5402386291214776,27.714008048464763,4.139640008534631e-5,0.0018663527925270756,BrancPorEp-120
si:dkey-85k7.7,9.250422467882409,1.6986581610507063,0.8330708420416686,23.464445164684875,2.750811204189903e-4,0.00818089318087733,BrancPorEp-120
ponzr3,19.463746566666035,1.9154012584003266,1.2102937089177843,21.697040343258706,5.977745082919822e-4,0.014650073718601966,BrancPorEp-120
ponzr4,10.069076024528954,1.4547126913328172,1.047101441150495,26.98450582427955,5.744012738113828e-5,0.0023870119022126944,BrancPorEp-120
eif4a1a,11.709868754651659,-1.2799099883193197,0.9944072053792615,20.939583799429627,8.316277658614822e-4,0.018433557170033456,BrancPorEp-120
dok4,9.327028314566967,0.14029731805022422,0.7182338613631126,26.046337884665306,8.740824733836627e-5,0.0033417921122404193,BrancPorEp-120
tpma,34.17619192573095,0.6769581714143807,0.5530396194982581,17.98954612002207,0.002959534774362409,0.04620502601488657,BrancPorEp-120
