Cluster,cell_type_cluster,cell_type_general,tissue,system,short_cell_type,short_cell_type_cluster
60,Anterior_enterocyte_60,Anterior enterocyte,intestine,digestive,EnteroAnte,EnteroAnte_60
61,Lens_61,Lens,eye,sensory,Lens,Lens_61
62,Pharyngeal_arch_62,Pharyngeal arch,mesenchyme,connective tissue,PharynArch,PharynArch_62
63,Cone_photoreceptor_red_sensitive_63,Cone photoreceptor red sensitive,eye,sensory,ConePhoRed,ConePhoRed_63
64,Vascular_endothelium_64,Vascular endothelium,vasculature,cardiovascular,VascEndoth,VascEndoth_64
65,Mucous_producing_head_periderm_65,Mucous producing head periderm,periderm,integumentary,MucHeadPer,MucHeadPer_65
66,Vasculature_maybe_HIGH_RIBO_66,Vasculature maybe HIGH RIBO,vasculature,cardiovascular,VascularHR,VascularHR_66
67,Cephalic_cranial_muscle_67,Cephalic cranial muscle,muscle,musculoskeletal,CephCraMus,CephCraMus_67
68,Posterior_epidermis_68,Posterior epidermis,epidermis,integumentary,PostEpider,PostEpider_68
69,Taste_bud_type_I+II_sweet_bitter_umami_69,Taste bud type I+II sweet bitter umami,taste,sensory,TasteBud12,TasteBud12_69
70,Gut_progenitor_maybe_HIGH_MITO_70,Gut progenitor maybe HIGH MITO,digestive general,digestive,GutProgeHM,GutProgeHM_70
71,Cone_photoreceptor_green_sensitive71,Cone photoreceptor green sensitive,eye,sensory,ConePhotGr,ConePhotGr_71
72,Oral/Pharyngeal_epithelium_72,Oral/Pharyngeal epithelium,epithelium,integumentary,OralPharEp,OralPharEp_72
73,Ionocyte_H_ATPase_rich_rhcgb+_73,Ionocyte H ATPase rich rhcgb+,ionocyte,transporter,IonoHATPas,IonoHATPas_73
74,Oral/Pharyngeal_epithelium_74,Oral/Pharyngeal epithelium,epithelium,integumentary,OralPharEp,OralPharEp_74
75,Fin_epidermis_75,Fin epidermis,fin,integumentary,FinEpiderm,FinEpiderm_75
76,Retinal_pigmented_epithelium_76,Retinal pigmented epithelium,eye,sensory,RetPigEpit,RetPigEpit_76
77,Vasculature_blood_brain_barrier_77,Vasculature blood brain barrier,vasculature,cardiovascular,VasBlBrBar,VasBlBrBar_77
78,Pharyngeal_arch_78,Pharyngeal arch,mesenchyme,connective tissue,PharynArch,PharynArch_78
79,Hair_cell_79,Hair cell,otic,sensory,HairCell,HairCell_79
80,Granule_or_neuron_80,Granule or neuron,neuron,nervous,GranuleorN,GranuleorN_80
81,Retinal_rod_cell_81,Retinal rod cell,eye,sensory,RetinalRod,RetinalRod_81
82,Lens_82,Lens,eye,sensory,Lens,Lens_82
83,Iridophore_83,Iridophore,pigment,neural crest,Iridophore,Iridophore_83
84,Fast_muscle_84,Fast muscle,muscle,musculoskeletal,FastMuscle,FastMuscle_84
85,Neural_maybe_HIGH_RIBO_85,Neural maybe HIGH RIBO,neuron,nervous,NeuralmbHR,NeuralmbHR_85
86,Periderm_86,Periderm,periderm,integumentary,Periderm,Periderm_86
87,Retinal_pigmented_epithelium_87,Retinal pigmented epithelium,eye,sensory,RetPigEpit,RetPigEpit_87
