gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,time
BX005332.1,0.9132186547110823,-1.693912894196656,2.697657269247623,0.39406635439064,0.5301696603392875,NA,t4-120HF.t0-UF
picalma,297.98981586926175,0.3456059513589687,0.4360665357627201,0.6368058747618477,0.42486980844457234,0.8043392866288477,t4-120HF.t0-UF
ccdc83,13.105151193751146,-0.8227680127803151,0.8671930294567837,0.8728307792787078,0.3501728195768251,NA,t4-120HF.t0-UF
sytl2a,2.278043090349929,-3.150660699218176,2.1881621405165665,2.1442834073035364,0.1431018403573414,NA,t4-120HF.t0-UF
crebzf,294.1725804440153,0.04477388233521631,0.3736071792220829,0.014397301589781364,0.9044920549395535,0.9772170223314532,t4-120HF.t0-UF
tmem126a,12.911150815841914,-0.014840721452908096,0.6968025777064146,6.150594586280533e-4,0.9802141781392372,NA,t4-120HF.t0-UF
dlg2,358.66485142354196,0.12096783638755193,0.3462367401127349,0.12280624224800363,0.7260106007140268,0.9327318734088895,t4-120HF.t0-UF
si:ch73-261i21.2,1.9644014552865896,-0.45106904148805654,1.914841217468506,0.05481055931291223,0.8148944973447506,NA,t4-120HF.t0-UF
ift46,22.49359329995082,-0.03480259075040342,0.5820554932887815,0.004148631428911642,0.9486438707573249,NA,t4-120HF.t0-UF
vps11,16.668300251641,-0.5090033177462769,0.6538499030063859,0.5984314893969795,0.43917711048284724,NA,t4-120HF.t0-UF
hyou1,97.35330362048275,1.078434081474179,0.49103075992745887,4.954914293692504,0.02601661447261609,0.228286503882189,t4-120HF.t0-UF
si:ch73-261i21.5,4.32216270503481,-0.3662897058284313,1.1403088406617437,0.10266443596984942,0.7486553366142078,NA,t4-120HF.t0-UF
hist2h2l,13.048391727480087,-0.5968451521297202,0.800354301669906,0.5532912135196071,0.4569760157254221,NA,t4-120HF.t0-UF
h2ax1,58.91354831512513,-0.46040619348700706,0.5213351127813619,0.7671536872717937,0.38109902475579194,0.7767144007954866,t4-120HF.t0-UF
zpr1,25.831682764596383,0.21574427394206727,0.5607340040182425,0.15222070852906455,0.6964221390115733,NA,t4-120HF.t0-UF
