gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,time,short_cell_type,seurat_clusters,short_cell_type_cluster
mao,38.13691524505509,2.5035771570001906,0.6745908942023024,13.922712521320967,1.9048277649995842e-4,0.012651231072538906,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
efna1b,13.36598004225906,3.6150115190727896,0.9582574518945102,15.508353037346218,8.214147177822591e-5,0.00697945093677283,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
nbn,30.53500776763446,2.2464373358078786,0.6419904140219129,12.829429296157059,3.412098135441045e-4,0.017832407960305,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
apoa4b.2.1,94.55855666302082,3.0473387005446577,0.5361345293998427,32.537916685830055,1.1688962060144864e-8,6.210735174623638e-6,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
apoeb,82.95257398823618,1.9112105641261052,0.5307898941622617,13.092135136184972,2.965381629880976e-4,0.016023112942475513,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
si:dkey-79d12.5,7.750972031729816,3.6554425296271442,1.1969200739576042,10.787530890189757,0.0010218609372797693,0.03701923486418073,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
me1,10.496632627410598,4.6032267278186625,1.1912072830679317,17.99728887285707,2.212198057850924e-5,0.002612032373492128,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
afp4,5.209078230593352,19.66681958068252,186.1287034331155,15.842394264369624,6.884267762853643e-5,0.006270584465136404,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
prkg3,18.127803449094987,2.7906286883099254,0.7793867809438594,13.689011763823103,2.1571295196487963e-4,0.013325745773369856,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
ches1,34.03982546080446,2.8243520076017297,0.6777943185291343,18.370937626679293,1.818100183482813e-5,0.002229270532670465,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
sh3rf1,50.16002740974881,2.88447620270892,0.663829204379889,18.839556007256334,1.4218750906294735e-5,0.001888724078719484,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
