gene_id	mut_hf_R1	mut_hf_R2	mut_hf_R3	mut_nf_R1	mut_nf_R2	mut_nf_R3	wt_hf_R1	wt_hf_R2	wt_hf_R3	wt_nf_R1	wt_nf_R2	wt_nf_R3
ENSDARG00000104773	2052	4180	2413	962	678	663	2715	3186	3623	1015	789	904
ENSDARG00000104775	0	8	1	34	0	0	0	10	12	0	0	14
ENSDARG00000104776	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000104782	6981.047	9123.448	7712.024	7607.105	5565.131	5647.01	6717.001	8179.135	9171.115	4215.077	5847.03	7460.053
ENSDARG00000104783	266.951	546.533	202.992	360.05	246.086	174.64	318.882	373.164	269.253	256.019	242.786	405.74
ENSDARG00000104784	0	0	0	0	0	0	11	0	0	0	0	0
ENSDARG00000104786	1428	1996	1256	1661	1308	1149	1465	1617	1735	1258	1237	1657
ENSDARG00000104787	0	36.85	0	83.757	0	49.175	20.928	0	0	0	0	108.783
ENSDARG00000104789	551	760	410	565	399	464	676	814	646	572	505	665
ENSDARG00000104791	3	29	3	13	34	45	17	24	39	33	6	40
ENSDARG00000104792	0	0	0	0	9	0	0	0	7	0	15	0
ENSDARG00000104793	21	78	30	6	0	17	0	40	45	46	7	24
ENSDARG00000104795	0	0	13	0	0	20	0	6	15	0	28	0
ENSDARG00000104798	152.296	256.465	121.986	205.203	118.189	151.049	115.492	136.42	208.71	223.863	108.15	115.784
ENSDARG00000104800	0	1	0	0	25	0	0	0	8	0	3	0
ENSDARG00000104801	71	90	44	46	119	134	78	75	83	32	5	126
ENSDARG00000104802	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000104803	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000104804	0	6.016	7.669	0	0	0	0	13.35	0	0	0	0
ENSDARG00000104805	0	0	21	0	0	0	0	0	0	0	0	0
ENSDARG00000104806	1583	2741	2467	2623	2327	2207	2258	2205	2584	2112	1935	2406
ENSDARG00000104807	126.946	396.63	247.951	643.19	226.094	466.866	167.331	249.392	379.355	649.047	493.445	352.484
