Phase,BaselineProp,PropMean.t0_UF,PropMean.t1_15HF,PropMean.t2_30HF,PropMean.t3_60HF,PropMean.t4_120HF,PropMean.t5_240HF,Fstatistic,P.Value,FDR,cluster
S,0.0033444816053511705,6.242197253433146e-4,0.0017636684303350978,0.0016129032258064512,0.04166666666666667,0.031249999999999997,-9.813077866773593e-18,1.590820735106832,0.15878326930329562,0.15878326930329562,SkelFastMu_270
G2M,0.004733727810650888,-0,-0,0.006493506493506494,0.007407407407407405,0.02777777777777776,0.009999999999999988,2.372768814993449,0.05173804563719118,0.07790908713604894,RetPigEpit_144
G1,0.9940828402366864,1,1.0000000000000002,0.9935064935064932,0.9925925925925924,0.9722222222222219,0.9820634920634915,2.370359667510976,0.05193939142403263,0.07790908713604894,RetPigEpit_144
S,0.001183431952662722,-0,-0,-0,-0,-0,0.007936507936507936,1.765799289292046,0.13639079217708266,0.13639079217708266,RetPigEpit_144
S,0.00851063829787234,0.014488741232927285,-0,0.007812499999999999,0.015873015873015883,-1.2266347333466992e-18,0.055555555555555546,2.3263844273990357,0.04019462037703226,0.12058386113109679,GutProgeHM_228
G1,0.9702127659574468,0.9426172019195278,0.9785694598528826,0.97704529494382,0.9627894873796515,0.9916666666666661,0.9444444444444436,0.9884033203637328,0.42299751807366337,0.634496277110495,GutProgeHM_228
G2M,0.02127659574468085,0.042894056847545235,0.021430540147117694,0.015142205056179773,0.021337496747332825,0.00833333333333333,-1.2266347333466992e-18,0.6333368453172439,0.6743056945867653,0.6743056945867653,GutProgeHM_228
G1,0.8565891472868217,0.824214792299899,0.8443978569764734,0.9011183597390494,0.8583333333333335,0.6547619047619045,0.8471582181259598,2.1211166803586283,0.1304052286054637,0.3912156858163911,MullerGlia_227
G2M,0.12790697674418605,0.12702634245187439,0.12147682273468438,0.08191985088536811,0.1416666666666667,0.27380952380952367,0.13671274961597532,1.2572113482086706,0.34131939215813095,0.5119790882371964,MullerGlia_227
S,0.015503875968992248,0.04875886524822696,0.0341253202888423,0.01696178937558248,2.0030861316495456e-18,0.07142857142857141,0.016129032258064505,0.8829717429884418,0.5205664273486651,0.5205664273486651,MullerGlia_227
S,0.008438818565400843,-0,0.009009009009009014,0.004310344827586206,0.03333333333333334,0.010416666666666664,0.006849315068493149,0.788406977042525,0.5577913955058431,0.7575474405291664,IonoKplusS_119
G1,0.9901547116736991,1.0000000000000002,0.9909909909909912,0.9913793103448274,0.9666666666666665,0.989583333333333,0.9931506849315062,0.6552091515482684,0.6575110141351493,0.7575474405291664,IonoKplusS_119
G2M,0.0014064697609001407,-0,-0,0.004310344827586206,-0,-6.133173666733496e-19,2.8035152732586433e-19,0.5250207772543678,0.7575474405291664,0.7575474405291664,IonoKplusS_119
S,0.009940357852882704,0.004728132387706881,-0,-0,0.17708333333333337,0.035714285714285705,-4.906538933386797e-18,2.3037253213656186,0.08223308354768843,0.2466992506430653,OligodenHR_195
G1,0.9423459244532804,0.9460563077584354,0.9627215551743855,0.9569277108433732,0.8020833333333335,0.9285714285714284,0.9999999999999999,1.1976801696700914,0.3450917840374513,0.5176376760561769,OligodenHR_195
G2M,0.04771371769383698,0.049215559853857734,0.03727844482561465,0.0430722891566265,0.02083333333333334,0.0357142857142857,-1.471961680016039e-17,0.7551208865406234,0.5920939443304394,0.5920939443304394,OligodenHR_195
S,0.0079960019990005,0.011126267425504162,-0,0.008547632963179426,0.002989536621823618,0.0144656118824669,0.003937007874015743,1.3930733714130674,0.2591084351762166,0.7773253055286499,ConePhotUV_213
G2M,0.010494752623688156,0.0077007700770077014,0.009132420091324202,0.006392460549386324,0.010926044558331557,0.005699063609945105,0.007874015748031492,0.4426630551035884,0.8146072240233158,0.9875771251903533,ConePhotUV_213
G1,0.9815092453773113,0.9811729624974884,0.9908675799086759,0.9850599064874338,0.9860844188198452,0.9798353245075876,0.9881889763779526,0.11668454157561456,0.9875771251903533,0.9875771251903533,ConePhotUV_213
S,0.013565891472868217,-0,0.009523809523809525,-0,-1.251928832280966e-18,0.06118881118881117,0.011627906976744165,0.9240937777017392,0.4639286557833747,0.6166667172232676,EnteroLyso_16
G1,0.9806201550387597,0.9761904761904763,0.9846282372598164,0.9999999999999999,1.0000000000000004,0.9259906759906756,0.9883720930232552,0.7104370264449065,0.61550648452976775,0.6166667172232676,EnteroLyso_16
G2M,0.005813953488372093,0.023809523809523815,0.005847953216374268,-0,4.006172263299091e-18,0.012820512820512817,-2.4532694666933983e-18,0.7088979481296018,0.6166667172232676,0.6166667172232676,EnteroLyso_16
G2M,0.011093502377179081,0.0058479532163742695,-0,0.014425072644250723,0.03195352214960058,-2.4532694666933983e-18,0.012820512820512818,2.8817714640740726,0.013210629240491987,0.03963188772147596,TasteBud12_10
G1,0.9809825673534073,0.9877417903733694,0.9863945578231295,0.9711498547114986,0.9680464778503995,1.0000000000000002,0.9871794871794868,1.3966966847906312,0.2218715678081309,0.33280735171219633,TasteBud12_10
S,0.00792393026941363,0.006410256410256412,0.01360544217687075,0.014425072644250723,-1.0015430658247728e-18,-2.4532694666933983e-18,-2.856395320907325e-20,0.6759773023447848,0.6416350403689319,0.6416350403689319,TasteBud12_10
G2M,0.011689691817215728,0.012392597488433578,-0,0.02189270733681654,0.013888888888888886,0.018771929824561395,-3.8332335417084346e-18,1.3880136495148423,0.2251358051192176,0.35324363378959206,TasteBud12_11
